Job Name,label,Company Name,Job Type,Experience Required,Department,JD,City,Date Posted,Skills_List,Normalized_Skills,clean_jd,month,JD_cleaned,Experience_Years,IT_Skills,CS_Skills,IT_Skills_Count,CS_Skills_Count,Python_Demand,ML_Demand,DataScience_Demand,Cloud_Demand,Skill_Gap_Score,Combined_Text,High_Demand,Demand_Score,JD_Cleaned,Extracted_Skills,Cleaned_JD,Exp_Years,City_Code,Dept_Code,Estimated_Salary
Full Time Territory Sales Supervisor Job in Pakistan,Normal Job,,Full Time Job,2 Years Job Exp.,Sales Job,Who is a Territory Sales Supervisor?TSS works as the custodian of retail and franchise in a given territory and works in the regional operating model lead by the Regional Business Head. This position reports to the Area Manager who leads a team of th,Rahim Yar Khan,2021-01-23,"['who is a territory sales supervisor?tss works as the custodian of retail and franchise in a given territory and works in the regional operating model lead by the regional business head', 'this position reports to the area manager who leads a team of th']","['who is a territory sales supervisor?tss works as the custodian of retail and franchise in a given territory and works in the regional operating model lead by the regional business head', 'this position reports to the area manager who leads a team of th']",who is a territory sales supervisor tss works as the custodian of retail and franchise in a given territory and works in the regional operating model lead by the regional business head this position reports to the area manager who leads a team of th,2021-01,who is a territory sales supervisor tss works as the custodian of retail and franchise in a given territory and works in the regional operating model lead by the regional business head this position reports to the area manager who leads a team of th,2,['ai'],['sales'],1,1,0,0,0,0,0.3333333333333333,Full Time Territory Sales Supervisor Job in Pakistan Who is a Territory Sales Supervisor?TSS works as the custodian of retail and franchise in a given territory and works in the regional operating model lead by the Regional Business Head. This position reports to the Area Manager who leads a team of th Sales Job,0,3.9062093402824805e-31,who is a territory sales supervisor tss works as the custodian of retail and franchise in a given territory and works in the regional operating model lead by the regional business head this position reports to the area manager who leads a team of th,['r'],who is a territory sales supervisortss works as the custodian of retail and franchise in a given territory and works in the regional operating model lead by the regional business head this position reports to the area manager who leads a team of th,2,71,92,65000
Full Time Specialist Fraud Management Operations Job in Pakistan,Normal Job,,Full Time Job,2 Years Job Exp.,Finance Job,"What is Specialist Fraud Management Operations?This position is responsible for assurance of timely fraud detection for GSM frauds, quick controlsimplementations, fraud escalations and timely fixation of new product evaluation. Fraud categoriesinclud",Islamabad,2021-01-23,"['what is specialist fraud management operations?this position is responsible for assurance of timely fraud detection for gsm frauds', 'quick controlsimplementations', 'fraud escalations and timely fixation of new product evaluation', 'fraud categoriesinclud']","['what is specialist fraud management operations?this position is responsible for assurance of timely fraud detection for gsm frauds', 'quick controlsimplementations', 'fraud escalations and timely fixation of new product evaluation', 'fraud categoriesinclud']",what is specialist fraud management operations this position is responsible for assurance of timely fraud detection for gsm frauds quick controlsimplementations fraud escalations and timely fixation of new product evaluation fraud categoriesinclud,2021-01,what is specialist fraud management operations this position is responsible for assurance of timely fraud detection for gsm frauds quick controlsimplementations fraud escalations and timely fixation of new product evaluation fraud categoriesinclud,2,[],[],0,0,0,0,0,0,0.0,"Full Time Specialist Fraud Management Operations Job in Pakistan What is Specialist Fraud Management Operations?This position is responsible for assurance of timely fraud detection for GSM frauds, quick controlsimplementations, fraud escalations and timely fixation of new product evaluation. Fraud categoriesinclud Finance Job",0,1.8921453589562903e-21,what is specialist fraud management operations this position is responsible for assurance of timely fraud detection for gsm frauds quick controlsimplementations fraud escalations and timely fixation of new product evaluation fraud categoriesinclud,['r'],what is specialist fraud management operationsthis position is responsible for assurance of timely fraud detection for gsm frauds quick controlsimplementations fraud escalations and timely fixation of new product evaluation fraud categoriesinclud,2,37,37,75000
Full Time ESS Contract Manager Job in Pakistan,Normal Job,,Full Time Job,2 Years Job Exp.,Procurement Job,What is ESS Contract Manager?The role is responsible to manage the Group wide Cloud Contract for ESS Project for the Vendors Oracle and APRO. This position will be a single point of contact to the OpCos who are implementing ESS for any changes in the,Islamabad,2021-01-23,"['what is ess contract manager?the role is responsible to manage the group wide cloud contract for ess project for the vendors oracle and apro', 'this position will be a single point of contact to the opcos who are implementing ess for any changes in the']","['what is ess contract manager?the role is responsible to manage the group wide cloud contract for ess project for the vendors oracle and apro', 'this position will be a single point of contact to the opcos who are implementing ess for any changes in the']",what is ess contract manager the role is responsible to manage the group wide cloud contract for ess project for the vendors oracle and apro this position will be a single point of contact to the opcos who are implementing ess for any changes in the,2021-01,what is ess contract manager the role is responsible to manage the group wide cloud contract for ess project for the vendors oracle and apro this position will be a single point of contact to the opcos who are implementing ess for any changes in the,2,['cloud'],[],1,0,0,0,0,1,0.2333333333333333,Full Time ESS Contract Manager Job in Pakistan What is ESS Contract Manager?The role is responsible to manage the Group wide Cloud Contract for ESS Project for the Vendors Oracle and APRO. This position will be a single point of contact to the OpCos who are implementing ESS for any changes in the Procurement Job,0,2.2437833512545986e-21,what is ess contract manager the role is responsible to manage the group wide cloud contract for ess project for the vendors oracle and apro this position will be a single point of contact to the opcos who are implementing ess for any changes in the,['r'],what is ess contract managerthe role is responsible to manage the group wide cloud contract for ess project for the vendors oracle and apro this position will be a single point of contact to the opcos who are implementing ess for any changes in the,2,37,78,75000
Full Time Head Of Venture Support Team Job in Pakistan,Normal Job,,Full Time Job,2 Years Job Exp.,Finance Job,What is Head of Venture Support Team?Head of Venture Support Team actively participates in strategic decision making for Digital Strategy of VEON with daily interactions with senior management (CXO level) of internal and external stakeholders. And al,Islamabad,2021-01-23,"['what is head of venture support team?head of venture support team actively participates in strategic decision making for digital strategy of veon with daily interactions with senior management (cxo level) of internal and external stakeholders', 'and al']","['what is head of venture support team?head of venture support team actively participates in strategic decision making for digital strategy of veon with daily interactions with senior management (cxo level) of internal and external stakeholders', 'and al']",what is head of venture support team head of venture support team actively participates in strategic decision making for digital strategy of veon with daily interactions with senior management cxo level of internal and external stakeholders and al,2021-01,what is head of venture support team head of venture support team actively participates in strategic decision making for digital strategy of veon with daily interactions with senior management cxo level of internal and external stakeholders and al,2,"['ai', 'git']",[],2,0,0,0,0,0,0.4666666666666666,Full Time Head Of Venture Support Team Job in Pakistan What is Head of Venture Support Team?Head of Venture Support Team actively participates in strategic decision making for Digital Strategy of VEON with daily interactions with senior management (CXO level) of internal and external stakeholders. And al Finance Job,0,4.677778997486115e-12,what is head of venture support team head of venture support team actively participates in strategic decision making for digital strategy of veon with daily interactions with senior management cxo level of internal and external stakeholders and al,['r'],what is head of venture support teamhead of venture support team actively participates in strategic decision making for digital strategy of veon with daily interactions with senior management cxo level of internal and external stakeholders and al,2,37,37,75000
Full Time Specialist Agent Reporting & Analysis Job in Pakistan,Normal Job,,Full Time Job,2 Years Job Exp.,Admin Job,What is Specialist Agent Reporting &amp; Analysis?This role is responsible to support the newly created vertical of Retail expansion in DFS Channel Planning &amp; Development stream. The new vertical is being established to support DFS agent network,Islamabad,2021-01-23,"['what is specialist agent reporting &amp', 'analysis?this role is responsible to support the newly created vertical of retail expansion in dfs channel planning &amp', 'development stream', 'the new vertical is being established to support dfs agent network']","['what is specialist agent reporting &amp', 'analysis?this role is responsible to support the newly created vertical of retail expansion in dfs channel planning &amp', 'development stream', 'the new vertical is being established to support dfs agent network']",what is specialist agent reporting amp analysis this role is responsible to support the newly created vertical of retail expansion in dfs channel planning amp development stream the new vertical is being established to support dfs agent network,2021-01,what is specialist agent reporting amp analysis this role is responsible to support the newly created vertical of retail expansion in dfs channel planning amp development stream the new vertical is being established to support dfs agent network,2,['ai'],[],1,0,0,0,0,0,0.2333333333333333,Full Time Specialist Agent Reporting & Analysis Job in Pakistan What is Specialist Agent Reporting &amp; Analysis?This role is responsible to support the newly created vertical of Retail expansion in DFS Channel Planning &amp; Development stream. The new vertical is being established to support DFS agent network Admin Job,0,1.3898059368732444e-27,what is specialist agent reporting amp analysis this role is responsible to support the newly created vertical of retail expansion in dfs channel planning amp development stream the new vertical is being established to support dfs agent network,['r'],what is specialist agent reporting amp analysisthis role is responsible to support the newly created vertical of retail expansion in dfs channel planning amp development stream the new vertical is being established to support dfs agent network,2,37,2,75000
Full Time Specialist Revenue Job in Pakistan,Normal Job,,Full Time Job,2 Years Job Exp.,Finance Job,What is Specialist Revenue?The role is responsible to comprehend the revenue booking process along with the relevant reporting requirements and lead respective revenue recording and reporting process during monthly closing cycle. Maintain relationshi,Islamabad,2021-01-23,"['what is specialist revenue?the role is responsible to comprehend the revenue booking process along with the relevant reporting requirements and lead respective revenue recording and reporting process during monthly closing cycle', 'maintain relationshi']","['what is specialist revenue?the role is responsible to comprehend the revenue booking process along with the relevant reporting requirements and lead respective revenue recording and reporting process during monthly closing cycle', 'maintain relationshi']",what is specialist revenue the role is responsible to comprehend the revenue booking process along with the relevant reporting requirements and lead respective revenue recording and reporting process during monthly closing cycle maintain relationshi,2021-01,what is specialist revenue the role is responsible to comprehend the revenue booking process along with the relevant reporting requirements and lead respective revenue recording and reporting process during monthly closing cycle maintain relationshi,2,['ai'],[],1,0,0,0,0,0,0.2333333333333333,Full Time Specialist Revenue Job in Pakistan What is Specialist Revenue?The role is responsible to comprehend the revenue booking process along with the relevant reporting requirements and lead respective revenue recording and reporting process during monthly closing cycle. Maintain relationshi Finance Job,0,5.622746001513922e-26,what is specialist revenue the role is responsible to comprehend the revenue booking process along with the relevant reporting requirements and lead respective revenue recording and reporting process during monthly closing cycle maintain relationshi,['r'],what is specialist revenuethe role is responsible to comprehend the revenue booking process along with the relevant reporting requirements and lead respective revenue recording and reporting process during monthly closing cycle maintain relationshi,2,37,37,75000
Full Time Senior Analyst Venture Support Team Job in Pakistan,Normal Job,,Full Time Job,2 Years Job Exp.,Admin Job,"What is Senior Analyst Venture Support Team?Sr. Analyst Venture Support Team is responsible for the daily operational activities of HQ venture organization that includes number crunching, reporting, documentation, creating dashboards for Digital prod",Islamabad,2021-01-21,"['what is senior analyst venture support team?sr', 'analyst venture support team is responsible for the daily operational activities of hq venture organization that includes number crunching', 'reporting', 'documentation', 'creating dashboards for digital prod']","['what is senior analyst venture support team?sr', 'analyst venture support team is responsible for the daily operational activities of hq venture organization that includes number crunching', 'reporting', 'documentation', 'creating dashboards for digital prod']",what is senior analyst venture support team sr analyst venture support team is responsible for the daily operational activities of hq venture organization that includes number crunching reporting documentation creating dashboards for digital prod,2021-01,what is senior analyst venture support team sr analyst venture support team is responsible for the daily operational activities of hq venture organization that includes number crunching reporting documentation creating dashboards for digital prod,2,"['ai', 'git']",[],2,0,0,0,0,0,0.4666666666666666,"Full Time Senior Analyst Venture Support Team Job in Pakistan What is Senior Analyst Venture Support Team?Sr. Analyst Venture Support Team is responsible for the daily operational activities of HQ venture organization that includes number crunching, reporting, documentation, creating dashboards for Digital prod Admin Job",0,1.4827146305564017e-16,what is senior analyst venture support team sr analyst venture support team is responsible for the daily operational activities of hq venture organization that includes number crunching reporting documentation creating dashboards for digital prod,['r'],what is senior analyst venture support teamsr analyst venture support team is responsible for the daily operational activities of hq venture organization that includes number crunching reporting documentation creating dashboards for digital prod,2,37,2,75000
Full Time Analyst Venture Support Team Job in Pakistan,Normal Job,,Full Time Job,2 Years Job Exp.,Admin Job,"What is Analyst Venture Support Team?Analyst Venture Support Team assists in the daily operational activities of HQ Venture Organization including reporting, documentation, vendor management including PO fulfilment, monitoring costs, supporting the r",Islamabad,2021-01-21,"['what is analyst venture support team?analyst venture support team assists in the daily operational activities of hq venture organization including reporting', 'documentation', 'vendor management including po fulfilment', 'monitoring costs', 'supporting the r']","['what is analyst venture support team?analyst venture support team assists in the daily operational activities of hq venture organization including reporting', 'documentation', 'vendor management including po fulfilment', 'monitoring costs', 'supporting the r']",what is analyst venture support team analyst venture support team assists in the daily operational activities of hq venture organization including reporting documentation vendor management including po fulfilment monitoring costs supporting the r,2021-01,what is analyst venture support team analyst venture support team assists in the daily operational activities of hq venture organization including reporting documentation vendor management including po fulfilment monitoring costs supporting the r,2,['ai'],[],1,0,0,0,0,0,0.2333333333333333,"Full Time Analyst Venture Support Team Job in Pakistan What is Analyst Venture Support Team?Analyst Venture Support Team assists in the daily operational activities of HQ Venture Organization including reporting, documentation, vendor management including PO fulfilment, monitoring costs, supporting the r Admin Job",0,4.3319517500829024e-16,what is analyst venture support team analyst venture support team assists in the daily operational activities of hq venture organization including reporting documentation vendor management including po fulfilment monitoring costs supporting the r,['r'],what is analyst venture support teamanalyst venture support team assists in the daily operational activities of hq venture organization including reporting documentation vendor management including po fulfilment monitoring costs supporting the r,2,37,2,75000
Full Time Business Support Expert Job in Pakistan,Normal Job,,Full Time Job,2 Years Job Exp.,Admin Job,"What is Business Support?This role is responsible to provide strategical support to Regional Business Head and sales teams by reporting, analyzing, planning, audit, operations at Regional and sub-regional levels.The role reports directly to the &ldqu",Lahore,2021-01-21,"['what is business support?this role is responsible to provide strategical support to regional business head and sales teams by reporting', 'analyzing', 'planning', 'audit', 'operations at regional and sub-regional levels', 'the role reports directly to the &ldqu']","['what is business support?this role is responsible to provide strategical support to regional business head and sales teams by reporting', 'analyzing', 'planning', 'audit', 'operations at regional and sub-regional levels', 'the role reports directly to the &ldqu']",what is business support this role is responsible to provide strategical support to regional business head and sales teams by reporting analyzing planning audit operations at regional and sub regional levels the role reports directly to the ldqu,2021-01,what is business support this role is responsible to provide strategical support to regional business head and sales teams by reporting analyzing planning audit operations at regional and sub-regional levels the role reports directly to the ldqu,2,[],['sales'],0,1,0,0,0,0,0.09999999999999999,"Full Time Business Support Expert Job in Pakistan What is Business Support?This role is responsible to provide strategical support to Regional Business Head and sales teams by reporting, analyzing, planning, audit, operations at Regional and sub-regional levels.The role reports directly to the &ldqu Admin Job",0,2.716964700533516e-38,what is business support this role is responsible to provide strategical support to regional business head and sales teams by reporting analyzing planning audit operations at regional and sub regional levels the role reports directly to the ldqu,['r'],what is business supportthis role is responsible to provide strategical support to regional business head and sales teams by reporting analyzing planning audit operations at regional and subregional levelsthe role reports directly to the ldqu,2,49,2,75000
Full Time Specialist Channel Promos & Communication Job in Pakistan,Normal Job,,Full Time Job,2 Years Job Exp.,Marketing Job,"What is Specialist Channel Promos &amp; Communication?Specialist Channel Promos &amp; Communication will lead and design monthly channel promos which will include whole promo approval, budgeting, announcement, reporting and post-promo analysis.The ro",Islamabad,2021-01-21,"['what is specialist channel promos &amp', 'communication?specialist channel promos &amp', 'communication will lead and design monthly channel promos which will include whole promo approval', 'budgeting', 'announcement', 'reporting and post-promo analysis', 'the ro']","['what is specialist channel promos &amp', 'communication?specialist channel promos &amp', 'communication will lead and design monthly channel promos which will include whole promo approval', 'budgeting', 'announcement', 'reporting and post-promo analysis', 'the ro']",what is specialist channel promos amp communication specialist channel promos amp communication will lead and design monthly channel promos which will include whole promo approval budgeting announcement reporting and post promo analysis the ro,2021-01,what is specialist channel promos amp communication specialist channel promos amp communication will lead and design monthly channel promos which will include whole promo approval budgeting announcement reporting and post-promo analysis the ro,2,[],['communication'],0,1,0,0,0,0,0.09999999999999999,"Full Time Specialist Channel Promos & Communication Job in Pakistan What is Specialist Channel Promos &amp; Communication?Specialist Channel Promos &amp; Communication will lead and design monthly channel promos which will include whole promo approval, budgeting, announcement, reporting and post-promo analysis.The ro Marketing Job",0,3.6326615982111473e-17,what is specialist channel promos amp communication specialist channel promos amp communication will lead and design monthly channel promos which will include whole promo approval budgeting announcement reporting and post promo analysis the ro,"['communication', 'r']",what is specialist channel promos amp communicationspecialist channel promos amp communication will lead and design monthly channel promos which will include whole promo approval budgeting announcement reporting and postpromo analysisthe ro,2,37,58,75000
Full Time Economics Affairs Intern Job in Pakistan,Normal Job,,Full Time Job,2 Years Job Exp.,Economics Job,What will Economic Affairs Intern do? Support EA team in developing advocacy themes and reports Develop a detailed analysis based report on advocacy material and dataThe role reports directly to the Stream Head Economic AffairsJazz is an equal opport,Islamabad,2021-01-21,['what will economic affairs intern do? support ea team in developing advocacy themes and reports develop a detailed analysis based report on advocacy material and datathe role reports directly to the stream head economic affairsjazz is an equal opport'],['what will economic affairs intern do? support ea team in developing advocacy themes and reports develop a detailed analysis based report on advocacy material and datathe role reports directly to the stream head economic affairsjazz is an equal opport'],what will economic affairs intern do support ea team in developing advocacy themes and reports develop a detailed analysis based report on advocacy material and datathe role reports directly to the stream head economic affairsjazz is an equal opport,2021-01,what will economic affairs intern do support ea team in developing advocacy themes and reports develop a detailed analysis based report on advocacy material and datathe role reports directly to the stream head economic affairsjazz is an equal opport,2,['ai'],[],1,0,0,0,0,0,0.2333333333333333,Full Time Economics Affairs Intern Job in Pakistan What will Economic Affairs Intern do? Support EA team in developing advocacy themes and reports Develop a detailed analysis based report on advocacy material and dataThe role reports directly to the Stream Head Economic AffairsJazz is an equal opport Economics Job,0,3.5348301027785314e-14,what will economic affairs intern do support ea team in developing advocacy themes and reports develop a detailed analysis based report on advocacy material and datathe role reports directly to the stream head economic affairsjazz is an equal opport,['r'],what will economic affairs intern do support ea team in developing advocacy themes and reports develop a detailed analysis based report on advocacy material and datathe role reports directly to the stream head economic affairsjazz is an equal opport,2,37,29,75000
Full Time Expert External Communications Job in Pakistan,Normal Job,,Full Time Job,2 Years Job Exp.,Government Job,"What is Expert External Communication?The corporate communication and sustainability department drives strategic communications, ensures proactive media outreach, and develops content for a wide range of internal and external digital and traditional",Islamabad,2021-01-21,"['what is expert external communication?the corporate communication and sustainability department drives strategic communications', 'ensures proactive media outreach', 'and develops content for a wide range of internal and external digital and traditional']","['what is expert external communication?the corporate communication and sustainability department drives strategic communications', 'ensures proactive media outreach', 'and develops content for a wide range of internal and external digital and traditional']",what is expert external communication the corporate communication and sustainability department drives strategic communications ensures proactive media outreach and develops content for a wide range of internal and external digital and traditional,2021-01,what is expert external communication the corporate communication and sustainability department drives strategic communications ensures proactive media outreach and develops content for a wide range of internal and external digital and traditional,2,"['ai', 'git']",['communication'],2,1,0,0,0,0,0.5666666666666667,"Full Time Expert External Communications Job in Pakistan What is Expert External Communication?The corporate communication and sustainability department drives strategic communications, ensures proactive media outreach, and develops content for a wide range of internal and external digital and traditional Government Job",0,4.563494027109982e-09,what is expert external communication the corporate communication and sustainability department drives strategic communications ensures proactive media outreach and develops content for a wide range of internal and external digital and traditional,"['communication', 'r']",what is expert external communicationthe corporate communication and sustainability department drives strategic communications ensures proactive media outreach and develops content for a wide range of internal and external digital and traditional,2,37,39,75000
Full Time Specialist Agent Reporting & Analysis Job in Pakistan,Normal Job,,Full Time Job,2 Years Job Exp.,Telecom Job,What is Specialist Agent Reporting &amp; Analysis?This role is responsible to support the newly created vertical of Retail expansion in DFS Channel Planning &amp; Development stream. The new vertical is being established to support DFS agent network,Islamabad,2021-01-21,"['what is specialist agent reporting &amp', 'analysis?this role is responsible to support the newly created vertical of retail expansion in dfs channel planning &amp', 'development stream', 'the new vertical is being established to support dfs agent network']","['what is specialist agent reporting &amp', 'analysis?this role is responsible to support the newly created vertical of retail expansion in dfs channel planning &amp', 'development stream', 'the new vertical is being established to support dfs agent network']",what is specialist agent reporting amp analysis this role is responsible to support the newly created vertical of retail expansion in dfs channel planning amp development stream the new vertical is being established to support dfs agent network,2021-01,what is specialist agent reporting amp analysis this role is responsible to support the newly created vertical of retail expansion in dfs channel planning amp development stream the new vertical is being established to support dfs agent network,2,['ai'],[],1,0,0,0,0,0,0.2333333333333333,Full Time Specialist Agent Reporting & Analysis Job in Pakistan What is Specialist Agent Reporting &amp; Analysis?This role is responsible to support the newly created vertical of Retail expansion in DFS Channel Planning &amp; Development stream. The new vertical is being established to support DFS agent network Telecom Job,0,2.61599026730299e-31,what is specialist agent reporting amp analysis this role is responsible to support the newly created vertical of retail expansion in dfs channel planning amp development stream the new vertical is being established to support dfs agent network,['r'],what is specialist agent reporting amp analysisthis role is responsible to support the newly created vertical of retail expansion in dfs channel planning amp development stream the new vertical is being established to support dfs agent network,2,37,105,75000
Full Time Distribution Planning And Analytics Specialist Job in Pakistan,Normal Job,,Full Time Job,2 Years Job Exp.,Telecom Job,Employment Type: This is a Full time/Permanent position. Location: This role is based in Islamabad Pakistan. Grade: This is a grade 2 position. Your Impactful goals will include Responsible for Distribution planning and driving the overall Distributi,Islamabad,2021-01-21,"['employment type: this is a full time/permanent position', 'location: this role is based in islamabad pakistan', 'grade: this is a grade 2 position', 'your impactful goals will include responsible for distribution planning and driving the overall distributi']","['employment type: this is a full time/permanent position', 'location: this role is based in islamabad pakistan', 'grade: this is a grade  position', 'your impactful goals will include responsible for distribution planning and driving the overall distributi']",employment type this is a full time permanent position location this role is based in islamabad pakistan grade this is a grade 2 position your impactful goals will include responsible for distribution planning and driving the overall distributi,2021-01,employment type this is a full time permanent position location this role is based in islamabad pakistan grade this is a grade 2 position your impactful goals will include responsible for distribution planning and driving the overall distributi,2,[],[],0,0,0,0,0,0,0.0,Full Time Distribution Planning And Analytics Specialist Job in Pakistan Employment Type: This is a Full time/Permanent position. Location: This role is based in Islamabad Pakistan. Grade: This is a grade 2 position. Your Impactful goals will include Responsible for Distribution planning and driving the overall Distributi Telecom Job,0,1.8554074866846285e-35,employment type this is a full time permanent position location this role is based in islamabad pakistan grade this is a grade 2 position your impactful goals will include responsible for distribution planning and driving the overall distributi,['r'],employment type this is a full timepermanent position location this role is based in islamabad pakistan grade this is a grade  position your impactful goals will include responsible for distribution planning and driving the overall distributi,2,37,105,75000
Full Time Civil Works & Power Implementation Executive Job in Pakistan,Normal Job,,Full Time Job,2 Years Job Exp.,Construction Job,"The Role:The incumbent will be responsible for execution of civil &amp; power related projects.Your Impactful Goals will include:Support PMO office for project portfolioTimely Project delivery with QualityProject scheduling, Risk Assessment &amp; mit",Islamabad,2021-01-21,"['the role:the incumbent will be responsible for execution of civil &amp', 'power related projects', 'your impactful goals will include:support pmo office for project portfoliotimely project delivery with qualityproject scheduling', 'risk assessment &amp', 'mit']","['the role:the incumbent will be responsible for execution of civil &amp', 'power related projects', 'your impactful goals will include:support pmo office for project portfoliotimely project delivery with qualityproject scheduling', 'risk assessment &amp', 'mit']",the role the incumbent will be responsible for execution of civil amp power related projects your impactful goals will include support pmo office for project portfoliotimely project delivery with qualityproject scheduling risk assessment amp mit,2021-01,the role the incumbent will be responsible for execution of civil amp power related projects your impactful goals will include support pmo office for project portfoliotimely project delivery with qualityproject scheduling risk assessment amp mit,2,[],[],0,0,0,0,0,0,0.0,"Full Time Civil Works & Power Implementation Executive Job in Pakistan The Role:The incumbent will be responsible for execution of civil &amp; power related projects.Your Impactful Goals will include:Support PMO office for project portfolioTimely Project delivery with QualityProject scheduling, Risk Assessment &amp; mit Construction Job",0,5.142064714839916e-40,the role the incumbent will be responsible for execution of civil amp power related projects your impactful goals will include support pmo office for project portfoliotimely project delivery with qualityproject scheduling risk assessment amp mit,['r'],the rolethe incumbent will be responsible for execution of civil amp power related projectsyour impactful goals will includesupport pmo office for project portfoliotimely project delivery with qualityproject scheduling risk assessment amp mit,2,37,21,75000
Full Time Network Demand Management Executive Job in Pakistan,Normal Job,,Full Time Job,2 Years Job Exp.,Telecom Job,The Role:This incumbent will work in Network Demand Management unit (NDM) of Network Planning and Rollout department. This Position is based in Islamabad and reports to NDM Manager.Your Impactful Goals will include:This role will be involved in Procu,Islamabad,2021-01-21,"['the role:this incumbent will work in network demand management unit (ndm) of network planning and rollout department', 'this position is based in islamabad and reports to ndm manager', 'your impactful goals will include:this role will be involved in procu']","['the role:this incumbent will work in network demand management unit (ndm) of network planning and rollout department', 'this position is based in islamabad and reports to ndm manager', 'your impactful goals will include:this role will be involved in procu']",the role this incumbent will work in network demand management unit ndm of network planning and rollout department this position is based in islamabad and reports to ndm manager your impactful goals will include this role will be involved in procu,2021-01,the role this incumbent will work in network demand management unit ndm of network planning and rollout department this position is based in islamabad and reports to ndm manager your impactful goals will include this role will be involved in procu,2,[],[],0,0,0,0,0,0,0.0,Full Time Network Demand Management Executive Job in Pakistan The Role:This incumbent will work in Network Demand Management unit (NDM) of Network Planning and Rollout department. This Position is based in Islamabad and reports to NDM Manager.Your Impactful Goals will include:This role will be involved in Procu Telecom Job,0,6.527360350702144e-40,the role this incumbent will work in network demand management unit ndm of network planning and rollout department this position is based in islamabad and reports to ndm manager your impactful goals will include this role will be involved in procu,['r'],the rolethis incumbent will work in network demand management unit ndm of network planning and rollout department this position is based in islamabad and reports to ndm manageryour impactful goals will includethis role will be involved in procu,2,37,105,75000
Full Time Channel Enablement Specialist Job in Pakistan,Normal Job,,Full Time Job,2 Years Job Exp.,Marketing Job,"Your Impactful Goals will include:Responsible for execution &amp; implementation of a robust Regional Enablement plan for the Region, which will enable sales &amp; distribution team to improve executional capability &amp; capacity of ChannelResponsib",Faisalabad,2021-01-21,"['your impactful goals will include:responsible for execution &amp', 'implementation of a robust regional enablement plan for the region', 'which will enable sales &amp', 'distribution team to improve executional capability &amp', 'capacity of channelresponsib']","['your impactful goals will include:responsible for execution &amp', 'implementation of a robust regional enablement plan for the region', 'which will enable sales &amp', 'distribution team to improve executional capability &amp', 'capacity of channelresponsib']",your impactful goals will include responsible for execution amp implementation of a robust regional enablement plan for the region which will enable sales amp distribution team to improve executional capability amp capacity of channelresponsib,2021-01,your impactful goals will include responsible for execution amp implementation of a robust regional enablement plan for the region which will enable sales amp distribution team to improve executional capability amp capacity of channelresponsib,2,[],['sales'],0,1,0,0,0,0,0.09999999999999999,"Full Time Channel Enablement Specialist Job in Pakistan Your Impactful Goals will include:Responsible for execution &amp; implementation of a robust Regional Enablement plan for the Region, which will enable sales &amp; distribution team to improve executional capability &amp; capacity of ChannelResponsib Marketing Job",0,1.807194244792824e-27,your impactful goals will include responsible for execution amp implementation of a robust regional enablement plan for the region which will enable sales amp distribution team to improve executional capability amp capacity of channelresponsib,['r'],your impactful goals will includeresponsible for execution amp implementation of a robust regional enablement plan for the region which will enable sales amp distribution team to improve executional capability amp capacity of channelresponsib,2,26,58,65000
Full Time Data Center IP Network Specialist Job in Pakistan,Normal Job,,Full Time Job,2 Years Job Exp.,Telecom Job,"The Role:The successful candidate will function as a &lsquo;hands-on&rsquo; technical resource for implementing cloud infrastructure and be responsible for defining all technical aspects of the solution to include the approach, architecture, analysis",Islamabad,2021-01-21,"['the role:the successful candidate will function as a &lsquo', 'hands-on&rsquo', 'technical resource for implementing cloud infrastructure and be responsible for defining all technical aspects of the solution to include the approach', 'architecture', 'analysis']","['the role:the successful candidate will function as a &lsquo', 'hands-on&rsquo', 'technical resource for implementing cloud infrastructure and be responsible for defining all technical aspects of the solution to include the approach', 'architecture', 'analysis']",the role the successful candidate will function as a lsquo hands on rsquo technical resource for implementing cloud infrastructure and be responsible for defining all technical aspects of the solution to include the approach architecture analysis,2021-01,the role the successful candidate will function as a lsquo hands-on rsquo technical resource for implementing cloud infrastructure and be responsible for defining all technical aspects of the solution to include the approach architecture analysis,2,['cloud'],[],1,0,0,0,0,1,0.2333333333333333,"Full Time Data Center IP Network Specialist Job in Pakistan The Role:The successful candidate will function as a &lsquo;hands-on&rsquo; technical resource for implementing cloud infrastructure and be responsible for defining all technical aspects of the solution to include the approach, architecture, analysis Telecom Job",0,6.488603305610481e-25,the role the successful candidate will function as a lsquo hands on rsquo technical resource for implementing cloud infrastructure and be responsible for defining all technical aspects of the solution to include the approach architecture analysis,['r'],the rolethe successful candidate will function as a lsquohandsonrsquo technical resource for implementing cloud infrastructure and be responsible for defining all technical aspects of the solution to include the approach architecture analysis,2,37,105,75000
